"twitter","avatar","updatedAt","createdAt","id","name","ownerId"
"p6m7g8","content/avatars/philip-gollucci/avatar.jpg","2024-06-16T20:29:28.566Z","2021-01-04T13:22:00.000Z","01EV6RZH60MP3QQ79NXAN06PVY","Philip M. Gollucci","1"
"rzamana","content/avatars/rzamana/avatar.jpeg","2024-06-16T20:29:18.168Z","2020-02-26T11:00:00.000Z","01E20JEHW0M8YH778FCKWYMXB9","Rafael Zamana Kineippe","1"
,"content/avatars/frank-wang/cdkdevlogo.jpg","2024-06-16T20:29:31.246Z","2020-09-29T10:00:00.000Z","01EKCMVY80M8255JD8Y4DV29AH","Frank Wang","1"
"tlakomy","content/avatars/tomasz-lakomy/avatar.png","2024-06-16T20:29:54.261Z","2023-11-22T09:00:00.000Z","01HFV43XM0GYX9JSPFVRXPYH5B","Tomasz Łakomy","1"
,"content/avatars/gernot-glawe/cdkdevlogo.jpg","2024-06-16T20:29:34.950Z","2021-01-04T09:00:00.000Z","01EV69ZSM0X8ED9S8XGSD5ZX35","Gernot Glawe","1"
,"content/avatars/beard-huijbers/cdkdevlogo.jpg","2024-06-16T20:29:33.827Z","2021-01-04T09:00:00.000Z","01EV69ZSM0BWWKRQRBVMX6DVGB","Eric Z. Beard and Rico Huijbers","1"
"alex_pulver","content/avatars/alex-pulver/avatar.jpeg","2024-06-16T20:29:23.712Z","2020-10-03T10:00:00.000Z","01EKPYET807MMHH46QSX1F2X63","Alex Pulver","1"
,"content/avatars/rollback-failed/cdkdevlogo.jpg","2024-06-16T20:29:36.068Z","2021-01-04T09:00:00.000Z","01EV69ZSM0HVHX3DY19FBJ5CRP","Rollback Failed","1"
"NIDeveloper","content/avatars/matt-coulter/matt-coulter.jpg","2024-06-16T20:29:29.360Z","2021-01-03T12:00:00.000Z","01EV41WNG0JWGNRAMSRXDMK54R","Matt Coulter","1"
,"content/avatars/yvo-van-zee/cdkdevlogo.jpg","2024-06-16T20:29:42.840Z","2021-01-04T09:00:00.000Z","01EV69ZSM0CPYKN3BA6PWHGYEV","Yvo van Zee","1"
,"content/avatars/foobar-serverless/cdkdevlogo.jpg","2024-06-16T20:29:35.794Z","2021-01-04T09:00:00.000Z","01EV69ZSM0EKQ6D3PA8YHMYV2A","FooBar Serverless","1"
"seeebiii","content/avatars/sebastian-hesse/cdkdevlogo.jpg","2024-06-16T20:29:29.914Z","2021-01-04T09:00:00.000Z","01EV69ZSM0ND04QMQ2MR2G1GYA","Sebastian Hesse","1"
,"content/avatars/eric-johnson/cdkdevlogo.jpg","2024-06-16T20:29:37.394Z","2020-09-29T10:00:00.000Z","01EKCMVY80RR7QCNN208J7F2HG","Eric Johnson","1"
"aripalo","content/avatars/ari-palo/avatar.jpg","2024-06-16T20:29:22.230Z","2020-09-27T16:00:00.000Z","01EK84NP00SNX7M205W39KWN4V","Ari Palo","1"
"mattbonig","content/avatars/matthew-bonig/avatar.jpg","2024-06-16T20:29:20.275Z","2020-09-17T16:00:00.000Z","01EJECPG00MHA2PX2KA6ZYPN3K","Matthew Bonig","1"
,"content/avatars/ernest-chiang/cdkdevlogo.jpg","2024-06-16T20:29:38.285Z","2020-09-29T10:00:00.000Z","01EKCMVY80KXDB3R3JA7X2DXPW","Ernest Chiang","1"
"MartinMueller_","content/avatars/martin-mueller/avatar.jpeg","2024-06-16T20:29:35.224Z","2021-01-04T09:00:00.000Z","01EV69ZSM06P6FS4B1H24RXHMJ","Martin Mueller","1"
"pahudnet","content/avatars/pahud-hsieh/avatar.jpg","2024-06-16T20:29:19.719Z","2020-09-17T16:00:00.000Z","01EJECPG00K1PFWM9B4ZVGGQR5","Pahud Hsieh","1"
"zaddo","content/avatars/mduesterhoeft/avatar.jpg","2024-06-16T20:29:32.698Z","2021-03-22T09:00:00.000Z","01F1CJK4M0VZQXAQ0KGRF9Z0NY","Mathias Düsterhöft","1"
,"content/avatars/wen-chuan-lee/cdkdevlogo.jpg","2024-06-16T20:29:37.685Z","2021-01-04T09:00:00.000Z","01EV69ZSM07CRS8CE39A9Q212Q","Wen Chuan Lee","1"
"win_bv","content/avatars/edwin-radtke/avatar.jpg","2024-06-16T20:29:21.132Z","2020-09-29T10:00:00.000Z","01EKCMVY806EEJN09TXCFPDXNP","Edwin Radtke","1"
,"content/avatars/tom-gregory/cdkdevlogo.jpg","2024-06-16T20:29:37.958Z","2021-01-04T09:00:00.000Z","01EV69ZSM0Z0JDNZARPQBKZM9E","Tom Gregory","1"
"thomaspoignant","content/avatars/thomaspoignant/avatar.jpg","2024-06-16T20:29:26.324Z","2021-01-04T09:00:00.000Z","01EV69ZSM0TXD7KQSYCNWQJ6DE","Thomas Poignant","1"
